sample	sex	age	age_group	social_rank	cd3tcells	bcells	nkcells	cd8tregulatory	cd4tcells	cd8tcells	cd4tregulatory	nonclass_monocytes	inter_monocytes	class_monocytes	batch
04N	FEMALE	19.42	4	HIGH	69.9	27.5	2.56	1.5	36.1	29.2	9.07	7.73	16.7	75.6	1
40L	FEMALE	19.67	4	MEDIUM	49.5	28.1	22.4	1.17	29.4	15.2	7.37	37.6	51.9	10.5	1
4Q9	MALE	5.92	2		38.7	41.8	19.5	1.44	18.1	16.8	2.96	28.9	21.4	49.7	1
04T	MALE	16.75	4	MEDIUM	54.4	26.3	19.3	1.49	27.5	19.2	3.45	17.4	14.1	68.4	1
04Z	MALE	15.5	4		36.9	31.5	31.5	0.82	23.9	10.2	4.43	47.7	36.5	15.8	1
59A	FEMALE	26.75	4	MEDIUM	47.7	40.3	12	1.45	23.3	19.4	3.9	10.6	9.04	80.4	1
5C0	FEMALE	13.75	3	HIGH	49.4	30.9	19.8	1.62	35.1	10.9	3.25	34.5	44.7	20.9	1
5G3	MALE	10.92	3		67	29.8	3.21	1.47	31.2	30.9	3.22	29.8	11.7	58.5	1
5K8	MALE	8.83	3	HIGH	46	50.4	3.55	1.25	26.8	12.7	5.77	3.63	1.3	95.1	1
5L7	FEMALE	8.92	3	LOW	63.1	22.6	14.3	1.48	31.8	26.3	3.94	15	6.3	78.7	1
50I INF	MALE	0.58	1		49.7	48.2	2.2	0.45	35.7	11	2.57	4.59	9	86.4	1
50I	FEMALE	21.67	4	MEDIUM	58.1	29.7	12.2	1.83	30.9	21.3	2.92	13.6	33.4	53	1
5P3	MALE	6.75	2		44.8	38.1	17.1	0.69	22.5	18.3	3.29	27	28.8	44.2	1
5Q8 INF	FEMALE	0.58	1		56.4	41.4	2.19	0.5	38.8	13	3.55	13.7	3.31	82.9	1
5Q8 	FEMALE	5.83	2		59.8	32.1	8.05	0.77	36.8	15.9	4.46	9.79	16.7	73.5	1
5R6	MALE	6.08	2		47.5	36.1	16.4	1.86	31.5	11.5	4.42	14	8.77	77.3	1
6B8	MALE	13.75	3	MEDIUM	54.3	26.5	19.2	1.25	23.2	12.5	3.28	12.2	3.68	84.2	1
6C9	FEMALE	13.42	3		49.7	42.2	8.1	0.77	25.4	19.7	3.83	23.3	13.1	63.5	1
6N0  	MALE	7.92	2		40.4	35.6	24	1.55	19.9	12.1	1.67	28.1	39.4	32.4	1
6P5	MALE	6.92	2		40.3	40.1	19.6	2.16	22.7	13.8	3.42	37.4	30	32.6	1
6Q2 INF	FEMALE	0.33	1		61.2	37.6	1.15	0.58	46	11.9	1.98	8.34	8.04	83.6	1
6Q2 	FEMALE	6	2		58.6	31.8	9.53	1.09	31.1	22.3	3.98	6.51	9.15	84.3	1
6Q5	MALE	6.08	2		47.8	34.9	17.2	0.51	31.7	10.9	7.32	19.3	7.05	73.6	1
7B2	MALE	13.83	3		68.9	20.1	11	1.03	28.1	36.1	2.73	20.2	19.9	59.9	1
7J8 INF	MALE	0.67	1		59.9	31.3	8.06	1.25	40.3	15	4.1	16.8	21.1	62	1
7J8	FEMALE	7.92	2	LOW	44.8	27.7	28.1	1.3	29	12.8	6.2	15.8	43.7	40.5	1
7K8 INF	FEMALE	0.42	1		49.3	26.5	24.2	0.22	35.4	7.35	2.52	34.1	51.2	14.7	1
7K8  	FEMALE	8.92	3	MEDIUM	51.6	36	12.4	1.04	31.4	16	5.87	18.2	9.38	72.5	1
7P0	MALE	6.92	2	LOW	51.4	22.9	25.7	0.77	25	20.8	3.03	13.1	10.5	76.4	1
73S	MALE	16.75	4		82	15.3	2.75	1.55	50.2	26	10.2	19.9	17.4	62.6	1
8A7 	MALE	14.75	4	LOW	48.6	48.6	3.67	0.76	25.7	19.9	5.26	9.15	11.2	79.6	1
8C0	MALE	12.83	3		48.8	35	16.2	0.71	28.1	17.2	6.6	23.2	12.4	64.4	1
8D2	MALE	12.58	3		78.2	16.7	5.06	0.86	32.4	40.6	5.95	11.7	15.5	72.9	1
8H0	MALE	10.83	3		72.8	24.2	3.09	1.54	41.7	20.8	11.7	2.19	5.89	91.9	1
8K1	MALE	8.83	3	LOW	40.3	41.2	18.4	1.3	24.4	12.6	5.28	17.1	8.7	74.2	1
8N3	FEMALE	7.83	2	MEDIUM	43.6	33.9	22.5	1.11	25.9	12.9	4.28	13.2	6.49	80.3	1
8P8	FEMALE	6.92	2		55.4	38.2	6.43	1.84	35.5	15.7	7.15	33.3	13.6	53.1	1
8Q5	MALE	5.92	2		64.7	25.2	10.1	1.15	41.2	18	3.98	22.5	16.1	61.4	1
8R5	FEMALE	5.83	2		48.2	29	22.9	1.76	25	20.2	4.12	30.9	28.6	40.5	1
9C1	FEMALE	12.83	3	HIGH	54.8	29.9	20.7	3.16	29.1	17.6	5.82	15.6	43	41.5	1
9D8	FEMALE	12.83	3	HIGH	50.8	43	6.21	1.24	30.8	15.1	5.91	17.3	9.72	73	1
9H7 INF	FEMALE	0.58	1		54.9	41.9	3.21	0.44	39.6	11.5	2.7	29.8	22	48.1	1
9H7 	FEMALE	10.83	3	MEDIUM	75.7	18	6.37	1.7	46.1	23.5	3.1	18.7	10.7	70.6	1
9D1	MALE	12.83	3		34.8	39.7	25.5	1.24	19.7	12.6	2.86	39.6	41.7	18.8	1
12Z	MALE	15.67	4		52.1	42.4	5.48	1.31	26.6	20.9	4.54	3.97	11	85	1
17K	MALE	20.75	4		51	26.5	22.5	1.22	22.5	24.5	5.04	49.4	16.8	33.8	1
28G	FEMALE	22.58	4	LOW	62.6	34	3.49	1.04	35.4	21.3	9.5	4.77	15.3	79.9	1
28J	FEMALE	21.42	4	LOW	53.3	18.3	28.3	0.8	32.1	13.1	9.08	30.9	59.6	9.46	1
33T	MALE	16.67	4	HIGH	52.4	33.7	13.8	1.43	29	16.8	5.14	8.09	8.74	83.2	1
43V	MALE	15.67	4		57.3	23.2	19.5	0.88	22	31.5	3.54	29.4	58	12.6	1
52P	FEMALE	18.67	4	LOW	73.8	16	10.2	3.56	34.8	32.4	10.6	22.1	20	57.9	1
61R	MALE	17.67	4	HIGH	83.6	15.1	1.23	2.88	46.2	31.5	7.38	2.58	5.88	91.5	1
63V INF	FEMALE	0.5	1		27.9	70.5	1.6	0.45	19.1	4.94	2.31	14	9.76	76.2	1
63V	FEMALE	15.75	4	LOW	48.6	35.4	17	1.13	28.5	15.7	7.76	48.8	15.6	35.6	1
64P	FEMALE	18.67	4	MEDIUM	55.4	25.6	19	0.61	31.5	18.6	4.18	29	57.8	13.2	1
73V	MALE	15.75	4		69.8	22.5	7.71	1.22	34.3	31.3	7.94	6.47	20	73.6	1
77I	MALE	21.58	4	HIGH	60.1	28.5	11.3	2.9	31.1	18	7.37	4.66	2.5	92.8	1
78I	FEMALE	21.67	4	MEDIUM	39.7	48.5	11.7	0.85	28.6	8.14	7.01	2.76	2.87	94.4	1
79Z	FEMALE	14.75	4	MEDIUM	74.5	22.4	3.11	0.75	36.8	32.9	3.36	17.6	9.1	73.3	1
81O	MALE	18.75	4	HIGH	51.8	40.1	8.03	1.45	31.8	15.4	6.31	6.09	1.83	92.1	1
82L	FEMALE	19.5	4	MEDIUM	67.5	17.7	14.8	0.75	33	20.4	6.34	53.5	42.9	3.66	1
96B	MALE	25.58	4		52.9	44.7	2.37	1.49	28.8	17.3	5.6	11.6	6.29	82.1	1
98T	FEMALE	15.58	4	HIGH 	68	28.8	3.22	1.37	39	23.2	8.03	17.8	8.48	73.8	1
0A4 INF	MALE	0.5	1		20.3	78.9	0.87	0.057	12.9	4	1.34	5.77	2.55	91.7	2
0A4	FEMALE	20.67	4	MEDIUM	64.6	35.4	0.03	0.82	31.3	27	3.7	0.24	0.048	99.7	2
0C6 INF	MALE	0.5	1		35.1	64	0.85	0.11	25.6	7.21	2.1	11.3	1.4	87.3	2
0C6	FEMALE	14.92	4		50.9	49	0.068	0.72	21.4	22.5	1.58	1.22	0.89	97.9	2
0I5 INF	FEMALE	0.5	1		37	61.8	1.23	0.057	25.6	7.59	1.07	8.77	1.19	90	2
0I5	FEMALE	12.08	3	MEDIUM	76.3	29.2	0.043	0	40.1	29.6	2.63	0.93	0.04	99	2
0I6	FEMALE	11.83	3	MEDIUM	55.8	30	14.2	0.3	25.5	24.4	2.58	45.4	9.98	44.6	2
0L1	MALE	10.08	3	MEDIUM	46.5	50	3.47	0.48	26.4	15.5	3.55	1.47	0.27	98.3	2
0P8	MALE	8.08	3	LOW	59.4	33.8	6.76	0.21	19.1	35.3	1.07	22.4	17.3	60.4	2
0R8	MALE	7.25	2	MEDIUM	61.1	37	1.94	0.4	23.2	31.1	1.69	9.89	2.83	87.3	2
1A3 INF	FEMALE	0.5	1		32.2	67	0.76	0.084	24.6	4.69	1.27	13.5	1.99	84.5	2
1A3	FEMALE	15.92	4	LOW	52.7	31.9	15.4	0.47	24	22.2	2.05	23.6	29.3	47.1	2
1R7	MALE	7.33	2		43.6	55.5	0.9	0.36	20.6	20.3	1.62	2.04	0.041	97.9	2
2C9	MALE	15	4	MEDIUM	76.1	13.4	10.5	0.66	37.3	27.2	3.37	48	46.1	5.88	2
2I2	MALE	11	3	MEDIUM	62.8	34.5	2.73	0.37	29.6	27.1	2.57	15.6	6.64	77.8	2
2J2	FEMALE	11.08	3	LOW	67.9	32.1	0.06	0.31	37.9	25.1	1.65	0.4	0.37	99.2	2
2N9	MALE	9.17	3	LOW	54.3	42.7	3.01	0.34	20.3	19.8	2.33	13.5	5.21	81.3	2
3S3	FEMALE	7	2	LOW	70.6	27.9	1.51	0.83	42	23.3	4.53	10.2	5.82	84	2
4C3	MALE	14.92	4		32	67.9	0.11	0.21	19.1	9.93	1.07	0.12	0.05	99.8	2
4S5	MALE	6.83	2	LOW	62.2	36.2	1.67	0.39	35.4	21.7	2.15	2.95	1.41	95.6	2
5D9	FEMALE	14	4		43.7	55.5	0.81	0.5	32.4	8.42	4.6	2.14	0.48	97.4	2
5Q0	MALE	8.17	3	LOW	42.7	53	4.22	0.2	24.9	12.7	1.62	15.9	3.74	80.4	2
5G3	MALE	12.08	3	HIGH	48.9	51	0.091	0.28	18.5	23.7	2.04	1.74	0.46	97.8	2
6N0	MALE	9.17	3	LOW	42	56.8	1.2	0.46	22.2	16.7	1.49	3.51	7.28	89.2	2
6P5	MALE	8.08	3	LOW	50	49.8	0.18	0.15	29.3	15.7	1.41	4.03	3.27	92.7	2
6Q5	MALE	7.25	2	LOW	51.8	48.1	0.11	0.32	39.6	9.36	3.64	0.77	0.24	99	2
7G1	MALE	12.08	3	LOW	44.4	55.5	0.14	0.45	27.4	13.8	3.06	0.72	0.41	98.9	2
7M3	MALE	9.08	3	LOW	67.7	30.1	2.2	0.45	39	21.7	4.56	8.36	6.25	85.4	2
8D2	MALE	13.83	3	HIGH	66.6	23.9	9.53	0.78	23.3	35.1	2.04	34.5	3.42	62.1	2
8D6	MALE	14	4		48.7	50.4	0.87	0.57	12.9	31.2	1.98	14.3	5.95	79.8	2
8.00E+08	FEMALE	13	3	LOW	46.8	52.9	0.33	0.51	25.9	14.4	2.17	11	4.92	84	2
8K1	MALE	10	3		54.2	40.4	5.37	0	28.6	21.4	0	21	4.01	75	2
9D1	MALE	14	4	HIGH	34.7	48.3	17	0.21	16.2	16.2	1.8	43.5	14.2	42.3	2
17K	MALE	21.92	4	MEDIUM	58.9	32.1	8.97	0.32	26.9	29	2.59	10.2	3.76	86	2
18Z	MALE	16.67	4	HIGH	70.2	29.4	0.43	0.35	29.7	31.4	2.55	1.94	0.33	97.7	2
30Z	MALE	17.08	4		57.9	39.3	2.78	0.39	41.1	14.3	2.72	4.76	4.92	90.3	2
36V	MALE	17.17	4	MEDIUM	44.7	55.2	0.098	0.59	18	23.7	1.37	0.83	0.18	99	2
37N	MALE	20.67	4	LOW	48	51.2	0.81	0.82	25.6	18.2	4.57	4.43	1.6	94	2
42L	FEMALE	20.83	4		81.8	17.6	0.58	0.49	24.4	47.7	2.22	11.7	4.65	83.7	2
43F	FEMALE	23.92	4	HIGH	74.3	24.7	1.02	0.34	29.8	34.9	1.63	6.88	2.54	90.6	2
53E	FEMALE	24.83	4		22.8	48	29.1	0.2	10.8	10.3	1.38	50.1	40.7	9.18	2
78T	FEMALE	17.83	4		58.6	34.4	7.04	0.49	28.1	26.6	1.94	30.7	9.22	60.1	2
79Z INF	MALE	0.5	1		33.3	66.4	0.35	0.049	26.3	4.73	1.53	2.38	0.63	97	2
79Z	FEMALE	16	4	LOW	67.3	32.7	0.019	0.1	23.5	36.6	1.16	0.31	0	99.7	2
93R	MALE	19	4	LOW	72.9	27.1	0.089	0.48	27.9	41.2	3.2	2.17	0.53	97.3	2
93Z	FEMALE	15.83	4		67.8	32.1	0.18	0.34	39	23.7	2.71	1.94	0.59	97.5	2
98K	MALE	21.58	4		80.4	19.6	0.029	0.18	19.3	58.1	0.84	2.33	1.33	96.3	2
98T	FEMALE	16.83	4	LOW	64.7	34.4	0.87	0.4	33.3	26.7	2.86	9.53	1.57	88.9	2
0J4	MALE	11.42	3	MEDIUM	71.1	13	15.9	0.82	15.7	50.2	2.05	11.6	9.92	78.5	3
0P0	MALE	8.25	3	LOW	57	21.1	21.9	0.53	22.9	30	3.59	7.14	5.12	87.7	3
00V INF	FEMALE	17.17	4	HIGH	39.1	45.6	15.3	0.29	21.5	14.1	0.78	20.8	5.07	74.1	3
1B1	MALE	16.25	4	HIGH	36.9	10.5	52.6	0.56	8.96	25	1.11	28.5	10.1	61.4	3
1G1 INF	MALE	0.5	1		46.8	51.8	1.43	0.74	17.8	21	0.98	0.68	0.063	99.3	3
1G0	FEMALE	12.17	3	LOW	78	18.2	3.77	0.78	37.8	35.5	4.77	0.43	1.07	98.5	3
1G1	FEMALE	12.25	3	HIGH	58.7	29.8	11.5	1.11	27.2	24.6	2.56	10.6	1.36	88	3
1I6	FEMALE	11.25	3	LOW	63.9	17.6	18.6	0.92	26	32.4	2.25	25.2	3.61	71.2	3
1J0	MALE	11	3	HIGH	59.2	22.4	18.4	0.63	21.7	31.9	3.85	8.15	8.13	83.7	3
1L5	FEMALE	10.08	3	LOW	73	20.6	6.37	0.59	34.9	33.1	4.12	12.1	6.21	81.7	3
2A5 INF	FEMALE	0.5	1		36.6	48.1	15.4	0.51	23	8.46	0.71	7.44	10.7	81.8	3
2A7 INF	MALE	0.5	1		66.1	32.5	1.36	1.36	36.2	17.2	0.95	4.39	8.34	87.3	3
2A5	FEMALE	16	4	LOW	46.4	26.6	27	0.47	26.8	13.8	3.47	5.63	5.57	88.8	3
2A7	FEMALE	16.17	4	LOW	77.8	6.02	16.2	1.43	29.6	35.3	4.76	15.6	12.8	71.6	3
2K1	FEMALE	10.17	3	LOW	65.6	20.7	13.7	1.24	33.7	26.4	3.31	12.9	18.5	68.6	3
2N8	MALE	9.42	3	MEDIUM	67.8	8.49	23.7	0.88	36.5	26.1	3.1	8.3	6.61	85.1	3
3I9	MALE	11.33	3	MEDIUM	75.4	8.33	16.3	0.64	28	38.7	1.66	5.35	5.87	88.8	3
3J8	MALE	11	3	LOW	53.4	26.4	20.1	1.06	26.6	21.8	4.61	7.06	7.86	85.1	3
3L1	MALE	10.33	3	LOW	69.1	7.29	23.6	0.74	22.1	36.3	1.69	29.3	26.4	44.3	3
3L2	MALE	10.25	3	HIGH	68.9	25.9	5.24	0.62	34.6	30.4	5.42	29.1	11.8	59.1	3
